Sample_Number,Sample_Name,melanin_hull,melanin_pericarp,ant_pericarp,ant_aleurone,Nud,BLP,Myc2,Ant2,Color_Raw,Red_mean,Green_mean,Blue_mean,Red_std,Green_std,Blue_std
01,Rec,no,no,no,no,yes,0,0,0,"[[181, 132, 49], [180, 131, 49], [181, 131, 49], [183, 133, 51], [182, 133, 50], [183, 132, 50], [182, 133, 50], [185, 136, 54], [183, 134, 52]]",182.22222222222223,132.77777777777777,50.44444444444444,1.3966450099973928,1.4740554623801778,1.5713484026367723
02,BLP-h,yes,yes,no,no,no,1,0,0,"[[122, 109, 82], [122, 109, 82], [121, 109, 82], [123, 110, 82], [123, 109, 82], [124, 110, 83], [119, 107, 81], [119, 107, 81], [120, 107, 81]]",121.44444444444444,108.55555555555556,81.77777777777777,1.7069212773041351,1.1653431646335017,0.628539361054709
03,BLP-n,no,yes,no,no,yes,1,0,0,"[[131, 98, 54], [133, 101, 58], [132, 100, 56], [128, 96, 53], [127, 95, 53], [131, 98, 55], [131, 98, 54], [132, 99, 55], [129, 98, 53]]",130.55555555555554,98.22222222222223,54.55555555555556,1.9499920860871383,1.7497795275581802,1.5713484026367723
04,Bowman,no,no,no,no,no,0,0,0,"[[174, 138, 73], [181, 146, 77], [188, 154, 84], [186, 151, 84], [181, 146, 81], [178, 141, 76], [183, 146, 76], [178, 140, 69], [174, 136, 69]]",180.33333333333334,144.22222222222223,76.44444444444444,4.594682917363407,5.632796380282922,5.51988548816632
05,BA,no,no,no,yes,yes,0,1,0,"[[150, 128, 83], [152, 130, 85], [149, 126, 82], [144, 123, 81], [143, 122, 79], [143, 122, 80], [144, 123, 81], [141, 121, 79], [145, 124, 82]]",145.66666666666666,124.22222222222223,81.33333333333333,3.527668414752787,2.739739556875101,1.8257418583505536
06,PLP,no,no,yes,no,no,0,0,1,"[[177, 150, 88], [177, 149, 84], [179, 152, 90], [170, 142, 82], [167, 141, 79], [177, 148, 80], [177, 150, 85], [172, 142, 74], [182, 154, 85]]",175.33333333333334,147.55555555555554,83.0,4.447221354708778,4.4748956812449485,4.594682917363407
07,OWB18,no,yes,yes,yes,yes,1,1,1,"[[98, 83, 60], [98, 83, 59], [100, 84, 60], [100, 85, 61], [98, 83, 60], [99, 84, 61], [95, 81, 59], [97, 83, 61], [99, 85, 62]]",98.22222222222223,83.44444444444444,60.333333333333336,1.4740554623801778,1.1653431646335017,0.9428090415820634
08,gBLP,no,yes,no,no,no,1,0,0,"[[163, 137, 83], [184, 159, 101], [161, 137, 85], [164, 139, 85], [163, 138, 84], [170, 144, 87], [169, 142, 86], [166, 140, 85], [173, 162, 129]]",168.11111111111111,144.22222222222223,91.66666666666667,6.707283676794031,8.991079255175071,14.149990184527416
09,Purple Black,yes,yes,yes,no,no,1,0,1,"[[107, 96, 75], [107, 97, 76], [108, 98, 76], [105, 95, 74], [108, 98, 78], [106, 95, 75], [107, 97, 77], [110, 101, 81], [107, 97, 78]]",107.22222222222223,97.0,76.66666666666667,1.314684396244359,1.8856180831641267,1.9999999999999998
10,OWB1,yes,yes,yes,yes,no,1,1,1,"[[132, 120, 95], [136, 124, 99], [136, 124, 99], [135, 123, 98], [134, 123, 98], [130, 119, 94], [130, 119, 94], [130, 119, 95], [128, 117, 93]]",132.33333333333334,120.88888888888889,96.11111111111111,2.8284271247461903,2.469567863432541,2.23330569358242
11,OWB5,no,yes,yes,yes,yes,1,1,1,"[[108, 94, 67], [107, 92, 65], [107, 93, 66], [105, 91, 64], [103, 88, 63], [105, 90, 65], [111, 96, 67], [110, 95, 66], [109, 94, 66]]",107.22222222222223,92.55555555555556,65.44444444444444,2.439388711122239,2.4088314876309775,1.2570787221094177
12,OWB7,yes,yes,yes,yes,no,1,1,1,"[[107, 95, 73], [110, 98, 76], [107, 96, 74], [108, 97, 75], [114, 101, 75], [115, 102, 76], [113, 100, 75], [117, 104, 78], [117, 103, 77]]",112.0,99.44444444444444,75.44444444444444,3.858612300930075,2.871743996293352,1.4229164972072996
13,OWB8,no,no,no,yes,yes,0,1,0,"[[186, 155, 89], [188, 155, 85], [188, 156, 86], [199, 163, 76], [191, 161, 87], [190, 162, 96], [175, 146, 84], [177, 149, 86], [175, 146, 84]]",185.44444444444446,154.77777777777777,85.88888888888889,7.7332056183579185,6.214280646270916,4.931631338038255
14,OWB17,no,no,yes,no,yes,0,0,1,"[[157, 117, 79], [157, 117, 79], [156, 116, 78], [156, 116, 79], [156, 116, 80], [155, 115, 79], [158, 118, 79], [153, 112, 75], [154, 114, 77]]",155.77777777777777,115.66666666666667,78.33333333333333,1.4740554623801778,1.6996731711975948,1.414213562373095
